=== VPHI cluster 실험 — 전체 시나리오 결과 ===
총 trial: 1800, 런타임: 320.3s

anchor      sg            sort          best미배치
vphi-326    auto          tall-first    2
vphi-326    auto          ldf           1
vphi-326    auto          footprint     1
vphi-326    auto          long-item     1
vphi-326    auto          anc-first     1
vphi-326    auto          anc-tall      1
vphi-326    after-vphi    tall-first    1
vphi-326    after-vphi    ldf           1
vphi-326    after-vphi    footprint     1
vphi-326    after-vphi    long-item     1
vphi-326    after-vphi    anc-first     1
vphi-326    after-vphi    anc-tall      1
vphi-502    auto          tall-first    1
vphi-502    auto          ldf           1
vphi-502    auto          footprint     1
vphi-502    auto          long-item     1
vphi-502    auto          anc-first     1
vphi-502    auto          anc-tall      1
vphi-502    after-vphi    tall-first    1
vphi-502    after-vphi    ldf           1
vphi-502    after-vphi    footprint     1
vphi-502    after-vphi    long-item     1
vphi-502    after-vphi    anc-first     1
vphi-502    after-vphi    anc-tall      2
vphi-670    auto          tall-first    2
vphi-670    auto          ldf           1
vphi-670    auto          footprint     1
vphi-670    auto          long-item     2
vphi-670    auto          anc-first     1
vphi-670    auto          anc-tall      2
vphi-670    after-vphi    tall-first    1
vphi-670    after-vphi    ldf           1
vphi-670    after-vphi    footprint     1
vphi-670    after-vphi    long-item     2
vphi-670    after-vphi    anc-first     1
vphi-670    after-vphi    anc-tall      1
vphi-874    auto          tall-first    1
vphi-874    auto          ldf           2
vphi-874    auto          footprint     1
vphi-874    auto          long-item     2
vphi-874    auto          anc-first     1
vphi-874    auto          anc-tall      1
vphi-874    after-vphi    tall-first    1
vphi-874    after-vphi    ldf           1
vphi-874    after-vphi    footprint     1
vphi-874    after-vphi    long-item     2
vphi-874    after-vphi    anc-first     1
vphi-874    after-vphi    anc-tall      2
vphi-972    auto          tall-first    2
vphi-972    auto          ldf           1
vphi-972    auto          footprint     1
vphi-972    auto          long-item     1
vphi-972    auto          anc-first     1
vphi-972    auto          anc-tall      1
vphi-972    after-vphi    tall-first    2
vphi-972    after-vphi    ldf           1
vphi-972    after-vphi    footprint     1
vphi-972    after-vphi    long-item     1
vphi-972    after-vphi    anc-first     1
vphi-972    after-vphi    anc-tall      1
